,time,lat,lon,eletrico,n_particulas,d_particulas,ldsa
145163,1334357400.0,47.377214,8.539419,8,23997,44.1,58.5
145191,1334357580.0,47.377232,8.537026,8,23855,43.9,57.8
145646,1334359920.0,47.375757,8.553191,8,8407,54.2,26.0
145816,1334360760.0,47.375665000000005,8.537353,8,12972,46.8,33.9
145844,1334360940.0,47.376959,8.540921,8,11630,51.7,34.1
145880,1334361120.0,47.379038,8.544974,8,7457,55.3,23.6
146138,1334362380.0,47.37721,8.552817999999998,8,10949,47.5,29.1
147169,1334390580.0,47.376843,8.548587,8,20690,37.8,42.2
148206,1334395860.0,47.376886,8.543786,8,9535,68.2,38.5
148246,1334396040.0,47.376083,8.539444,8,9752,68.3,39.5
148333,1334396460.0,47.364213,8.531842999999999,8,8888,68.4,36.1
148469,1334397240.0,47.368796,8.537664999999999,8,5887,85.9,31.1
148478,1334397300.0,47.369768,8.538780000000001,8,6467,81.4,32.1
148908,1334399460.0,47.377212,8.552972,8,7201,75.5,32.8
148966,1334399760.0,47.377421000000005,8.54627,8,5984,85.7,31.5
148978,1334399820.0,47.379065999999995,8.54521,8,20523,39.5,44.0
149021,1334400000.0,47.377076,8.540299000000001,8,12703,58.0,42.6
149049,1334400120.0,47.373151,8.538302999999999,8,7822,77.5,36.6
149098,1334400480.0,47.366917,8.533759,8,7718,76.5,35.6
149332,1334401620.0,47.377007,8.54664,8,4600,102.2,29.7
149338,1334401680.0,47.377322,8.548231,8,4565,100.6,29.0
150029,1334405160.0,47.379366999999995,8.544674,8,5394,85.1,28.2
150052,1334405280.0,47.377263,8.547993,8,5373,84.8,27.9
151123,1334410800.0,47.376948999999996,8.542898,8,9995,59.8,34.6
151179,1334411100.0,47.369834999999995,8.538886,8,10158,60.2,35.5
151751,1334413980.0,47.374746,8.55032,8,5721,79.3,27.5
151886,1334414760.0,47.369838,8.538938,8,11128,57.3,36.7
151901,1334414820.0,47.368269,8.536534,8,20747,37.8,42.3
152056,1334415600.0,47.375975,8.539473,8,11717,63.2,43.3
152868,1334419740.0,47.374883000000004,8.552445,8,14011,65.5,54.0
153219,1334421540.0,47.376956,8.542466000000001,8,10350,67.6,41.4
154105,1334425800.0,47.36427,8.531943,8,15653,78.8,74.8
154126,1334425920.0,47.36404,8.531437,8,7352,105.8,49.4
154244,1334426520.0,47.376965999999996,8.540459,8,13989,66.0,54.4
154350,1334427060.0,47.376991,8.554003999999999,8,15012,72.3,64.9
155057,1334434260.0,47.377016,8.541808999999999,8,16984,54.4,52.8
155526,1334436720.0,47.377016,8.554101,8,25834,47.3,68.3
155617,1334437140.0,47.377263,8.544266,8,16447,54.0,50.7
155732,1334437740.0,47.377,8.5414,8,18104,56.8,59.1
155752,1334437860.0,47.377001,8.544261,8,18850,55.0,59.4
156293,1334440620.0,47.375369,8.538578999999999,8,10511,65.3,40.4
156708,1334442720.0,47.377072999999996,8.553822,8,10521,68.4,42.7
156890,1334443680.0,47.376047,8.539485,8,15182,56.4,49.2
157314,1334445780.0,47.374894,8.552391,8,14491,58.8,49.3
157991,1334449260.0,47.377333,8.53921,8,20874,58.0,69.8
158048,1334449560.0,47.376142,8.539448,8,18179,54.0,56.1
158128,1334449980.0,47.379575,8.548142,8,44866,32.5,76.6
158997,1334488380.0,47.377282,8.539417,8,16932,55.2,53.6
159165,1334489220.0,47.376942,8.542285000000001,8,11868,62.2,43.1
159533,1334491080.0,47.378876,8.545314,8,7109,83.9,36.5
159587,1334491380.0,47.377255,8.539425,8,8420,79.8,40.8
159593,1334491380.0,47.377309000000004,8.539277,8,12172,68.8,49.7
160712,1334497080.0,47.377765000000004,8.546128,8,5230,94.6,30.9
161333,1334500260.0,47.37688,8.54377,8,15663,58.0,52.4
161609,1334501640.0,47.374716,8.550403,8,16290,47.8,43.6
161935,1334503380.0,47.37701,8.542022,8,8374,59.8,29.1
162119,1334504280.0,47.376996999999996,8.540393,8,18947,39.2,40.2
162177,1334504580.0,47.37898,8.545219,8,6323,62.9,23.3
162504,1334506260.0,47.377181,8.544402999999999,8,19782,48.2,53.5
162528,1334506380.0,47.37707,8.54035,8,22929,47.1,60.3
162617,1334506860.0,47.377113,8.537022,8,20500,38.1,42.2
162628,1334506920.0,47.377125,8.536992999999999,8,19100,52.7,57.3
162742,1334507460.0,47.378262,8.545781,8,6944,63.4,25.8
162753,1334507520.0,47.37728,8.547719,8,6618,65.6,25.6
163027,1334508960.0,47.374728999999995,8.550071,8,12771,51.9,37.6
163238,1334510040.0,47.376587,8.536558,8,11177,50.6,32.0
163399,1334510880.0,47.376821,8.552750999999999,8,6304,68.3,25.5
163583,1334511780.0,47.377016999999995,8.554115,8,13695,43.3,32.7
163789,1334512800.0,47.377157000000004,8.536997,8,8439,59.3,29.0
163826,1334512980.0,47.377142,8.537002000000001,8,18150,50.2,51.5
163869,1334513220.0,47.3757,8.539258,8,14319,47.1,37.7
164172,1334514840.0,47.377201,8.552812,8,6020,71.8,25.8
164857,1334518260.0,47.376978,8.542316,8,7529,58.9,25.6
165063,1334519280.0,47.376844,8.543353999999999,8,26938,35.5,51.0
165094,1334519460.0,47.378212,8.545716,8,18572,37.0,37.0
165110,1334519520.0,47.376845,8.548584,8,15888,38.5,33.1
166525,1334526780.0,47.375062,8.552632000000001,8,9356,49.6,26.1
167065,1334529540.0,47.375083000000004,8.552664,8,10345,42.2,23.9
167113,1334529780.0,47.378906,8.545194,8,14944,37.0,29.7
167169,1334530080.0,47.377292,8.539275,8,11670,43.4,27.9
167245,1334530440.0,47.376915000000004,8.54031,8,24531,30.1,38.4
167644,1334532540.0,47.378334,8.54562,8,19465,35.4,36.8
170539,1334573340.0,47.367166,8.544835,8,17186,39.5,36.8
170582,1334573580.0,47.367399,8.540191,8,24379,40.8,54.4
171540,1334579040.0,47.371271,8.549897,8,8636,55.5,27.5
171953,1334581080.0,47.369664,8.538932,8,14668,44.9,36.5
172068,1334581680.0,47.37235,8.550646,8,7376,54.7,23.1
172893,1334586420.0,47.365941,8.547907,8,10717,51.7,31.4
173544,1334590140.0,47.371004,8.549681,8,11958,55.2,37.8
173846,1334591700.0,47.360787,8.551877000000001,8,9132,55.5,29.0
173853,1334591700.0,47.362797,8.550184,8,13832,90.1,77.2
173991,1334592420.0,47.372347,8.55061,8,8839,60.6,31.1
174657,1334596320.0,47.36489,8.55402,8,26687,70.9,112.8
176714,1334646540.0,47.366548,8.541488000000001,8,107266,26.3,143.7
177384,1334650560.0,47.367564,8.540146,8,34139,39.1,72.3
177470,1334650980.0,47.37267,8.52685,8,16752,47.6,44.6
183034,1334679420.0,47.369445,8.539449000000001,8,4266,67.7,17.1
183637,1334683080.0,47.368932,8.547761999999999,8,11813,64.0,44.3
184193,1334685840.0,47.367191,8.544902,8,12761,51.8,37.5
184913,1334690100.0,47.373217,8.528039999999999,8,8115,51.6,23.7
185144,1334691300.0,47.371789,8.535489,8,4653,75.3,21.1
185167,1334691420.0,47.369758000000004,8.539277,8,5966,68.2,24.1
185190,1334691540.0,47.366886,8.540306,8,8281,63.3,30.7
185258,1334691840.0,47.370857,8.549610000000001,8,9732,52.6,29.1
186252,1334697480.0,47.366646,8.540434,8,19410,44.6,47.9
186701,1334699700.0,47.377128000000006,8.54848,8,14601,59.8,50.7
187297,1334702700.0,47.374266999999996,8.549843,8,18799,44.9,46.8
187625,1334704380.0,47.373575,8.550015,8,15257,47.7,40.7
188017,1334706300.0,47.373565,8.529404,8,26732,38.5,55.7
188104,1334706720.0,47.366876,8.540344000000001,8,12463,52.8,37.4
190560,1334744100.0,47.367017,8.5437,8,36725,50.6,105.0
190578,1334744160.0,47.366521,8.541151,8,10423,51.7,30.5
190939,1334746020.0,47.366572999999995,8.541688,8,13439,48.5,36.6
191956,1334751540.0,47.373415,8.531487,8,15113,48.4,41.0
192060,1334752080.0,47.367187,8.544939,8,13964,49.2,38.6
192671,1334755740.0,47.366526,8.541181,8,6715,54.0,20.7
192720,1334755980.0,47.37129,8.536269,8,11127,43.2,26.5
192984,1334757360.0,47.373812,8.529727000000001,8,17519,44.1,42.7
193126,1334758080.0,47.369818,8.548652,8,12852,41.9,29.5
193722,1334761680.0,47.369662,8.539017,8,8579,49.3,23.8
195106,1334769300.0,47.373232,8.528253,8,6836,42.4,15.9
195780,1334773260.0,47.372965,8.550271,8,6512,41.8,14.9
195948,1334774100.0,47.373544,8.529507,8,9520,43.1,22.6
197467,1334786940.0,47.366719,8.540386,8,11454,40.6,25.3
200505,1334825760.0,47.373182,8.550269,8,17418,36.7,34.3
201084,1334829000.0,47.367175,8.544805,8,29592,47.9,79.4
202438,1334836500.0,47.37194,8.526136,8,56434,49.2,156.0
202583,1334837220.0,47.369527000000005,8.548374,8,36780,31.9,61.5
203578,1334842800.0,47.366942,8.543441,8,15407,45.9,39.3
204114,1334846100.0,47.376853000000004,8.548607,8,8482,52.0,25.0
